table,rows_in,rows_loaded,rows_rejected,load_timestamp
companies,92,92,0,2026-06-22 19:12:30
sectors,92,92,0,2026-06-22 19:12:30
profitandloss,1263,1164,125,2026-06-22 19:12:30
balancesheet,1225,1140,259,2026-06-22 19:12:30
cashflow,1164,1068,142,2026-06-22 19:12:30
analysis,20,16,4,2026-06-22 19:12:31
documents,1585,1457,128,2026-06-22 19:12:31
prosandcons,16,14,2,2026-06-22 19:12:31
stock_prices,5520,5520,0,2026-06-22 19:12:31
market_cap,552,552,0,2026-06-22 19:12:31
financial_ratios,1065,1041,262,2026-06-22 19:12:31
peer_groups,56,56,0,2026-06-22 19:12:31
